Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2016,1,13,PHO,Georgios Papagiannis,C,,39,12.2,4.1,3.2,0.7,0.2,0.6,.514,.000,.857,0.4,.044
2016,1,14,CHI,Denzel Valentine,G,Michigan State University,134,22.9,8.0,4.1,2.3,0.7,0.1,.399,.374,.754,3.1,.048
2016,1,15,DEN,Juan Hernangomez,F,,155,15.8,5.1,3.2,0.6,0.4,0.3,.437,.365,.764,5.1,.100
2016,1,16,BOS,Guerschon Yabusele,F,,72,6.3,2.2,1.4,0.4,0.2,0.2,.437,.300,.714,1.0,.109
2016,1,17,MEM,Wade Baldwin,G,Vanderbilt University,56,10.3,3.1,1.2,1.4,0.4,0.2,.355,.250,.776,-0.3,-0.028
2016,1,18,DET,Henry Ellenson,F,Marquette University,72,9.1,3.9,2.3,0.6,0.2,0.0,.360,.331,.788,0.1,.004
2016,1,19,DEN,Malik Beasley,G,Florida State University,161,15.8,7.1,1.8,0.8,0.4,0.1,.459,.387,.806,4.8,.091
2016,1,20,IND,Caris LeVert,G-F,University of Michigan,165,24.8,11.0,3.6,3.4,1.0,0.3,.433,.326,.709,5.3,.062
2016,1,21,ATL,DeAndre Bembry,F,Saint Joseph's University,143,18.8,6.2,3.3,1.9,0.9,0.4,.444,.286,.594,0.8,.014
2016,1,22,CHO,Malachi Richardson,G,Syracuse University,70,8.9,2.8,1.0,0.3,0.2,0.0,.358,.301,.783,-0.1,-0.009
2016,1,23,BOS,Ante Zizic,F-C,,87,13.9,6.1,4.1,0.6,0.2,0.4,.577,,.707,2.8,.111
2016,1,24,PHI,Timothe Luwawu,F,,168,15.4,5.6,1.8,0.9,0.4,0.1,.386,.321,.821,1.8,.033
2016,1,25,LAC,Brice Johnson,F,University of North Carolina,21,5.1,2.2,1.6,0.1,0.5,0.3,.449,.000,.600,0.1,.062
2016,1,26,PHI,Furkan Korkmaz,G,,60,12.2,4.9,1.9,0.9,0.5,0.1,.389,.327,.804,1.1,.073
2016,1,27,TOR,Pascal Siakam,F,New Mexico State University,213,23.5,10.0,5.1,2.0,0.8,0.7,.529,.300,.741,15.2,.145
2016,1,28,PHO,Skal Labissiere,F,University of Kentucky,114,17.4,7.5,4.2,1.0,0.4,0.6,.475,.357,.746,2.7,.065
2016,1,29,SAS,Dejounte Murray,G,University of Washington,119,17.4,6.6,4.2,2.3,0.9,0.3,.441,.316,.708,3.2,.074
2016,1,30,GSW,Damian Jones,F-C,Vanderbilt University,49,11.9,3.6,2.3,0.6,0.3,0.7,.643,,.577,1.6,.128
2016,2,31,BOS,Deyonta Davis,C-F,Michigan State University,104,12.2,4.2,3.2,0.4,0.2,0.6,.593,.000,.646,3.4,.129
